                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.3884,                0.29469,                0.83667,                0.95299,                0.95402,                 0.9715,                0.91506,                0.38953,                0.28513,                0.79678,               0.006535,               0.006535,               0.006535
                     37,                0.38442,                0.29155,                0.83474,                0.91485,                0.82304,                0.89972,                0.80679,                0.50968,                0.50264,                0.83753,               0.006436,               0.006436,               0.006436
                     38,                0.38741,                0.28661,                0.83925,                 0.9726,                0.98288,                   0.99,                0.94044,                0.37016,                0.22209,                0.79102,               0.006337,               0.006337,               0.006337
                     39,                0.38666,                0.29089,                0.83832,                0.98174,                0.97432,                0.98929,                0.94278,                 0.3653,                0.22062,                0.78748,               0.006238,               0.006238,               0.006238
                     40,                0.37797,                0.28427,                0.83365,                0.97995,                0.98854,                0.99252,                0.94363,                0.36889,                0.21684,                 0.7922,               0.006139,               0.006139,               0.006139
                     41,                 0.3817,                0.28571,                0.83455,                0.97923,                0.98519,                0.98975,                 0.9412,                 0.3713,                0.21802,                0.79313,                0.00604,                0.00604,                0.00604
                     42,                0.37606,                0.28403,                0.83469,                0.96503,                0.97052,                0.98833,                0.93453,                0.37851,                0.24042,                0.79382,               0.005941,               0.005941,               0.005941
                     43,                0.37571,                0.28558,                0.83548,                0.97456,                0.98751,                0.98888,                 0.9376,                0.37515,                0.22311,                0.79385,               0.005842,               0.005842,               0.005842
                     44,                0.37639,                0.27915,                0.83258,                0.98141,                0.98847,                0.99271,                0.94554,                 0.3673,                0.20958,                0.78819,               0.005743,               0.005743,               0.005743
                     45,                0.37102,                 0.2745,                0.83237,                0.91904,                0.86229,                 0.9248,                0.83476,                0.48947,                0.48442,                0.83129,               0.005644,               0.005644,               0.005644
                     46,                0.37431,                0.27372,                0.83349,                0.98325,                0.98294,                0.99048,                0.94159,                0.36858,                 0.2191,                0.78841,               0.005545,               0.005545,               0.005545
                     47,                0.36619,                 0.2676,                0.83258,                0.98068,                0.98558,                0.99235,                0.94194,                0.37362,                0.21049,                0.78852,               0.005446,               0.005446,               0.005446
                     48,                0.36384,                0.26664,                0.82893,                 0.8735,                0.79183,                0.87248,                0.79362,                0.49202,                0.73052,                0.84422,               0.005347,               0.005347,               0.005347
                     49,                0.36177,                0.26467,                0.83016,                0.96748,                0.97922,                0.98867,                0.93333,                 0.3864,                0.23814,                 0.7931,               0.005248,               0.005248,               0.005248
                     50,                0.36165,                0.26915,                0.83085,                0.97962,                0.98885,                0.98983,                0.94338,                0.36385,                0.20788,                0.78852,               0.005149,               0.005149,               0.005149
                     51,                0.36664,                0.26486,                0.83129,                0.97992,                 0.9882,                0.99142,                0.94572,                 0.3644,                0.20849,                0.78789,                0.00505,                0.00505,                0.00505
                     52,                0.35816,                0.26166,                0.82873,                0.96039,                0.96847,                0.98157,                0.93032,                0.38618,                0.24468,                0.79554,               0.004951,               0.004951,               0.004951
                     53,                0.35933,                0.26405,                0.83246,                0.97806,                0.98959,                0.99058,                0.94245,                0.36161,                0.20346,                 0.7879,               0.004852,               0.004852,               0.004852
                     54,                0.35907,                0.26087,                0.83037,                 0.9788,                0.98567,                0.99164,                0.94514,                 0.3697,                0.20517,                0.79159,               0.004753,               0.004753,               0.004753
                     55,                0.35476,                0.25428,                0.82931,                0.97741,                0.98648,                 0.9859,                0.93836,                0.36407,                0.21357,                0.78977,               0.004654,               0.004654,               0.004654
